"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Hhatl","enzyme","negative regulation of Hedgehog palmitoylation","SHH (substrate of HHAT, which HHATL inhibits)","endoplasmic reticulum; sarcoplasmic reticulum","ubiquitous; brain; heart; muscle","myocytes; cardiomyocytes","Hedgehog signaling pathway (negative regulator of Hh palmitoylation/secretion)","abnormal startle reflex; decreased body length; decreased locomotor activity; abnormal gait; decreased exploration; decreased bone mineral density; decreased lean body mass; increased body fat; preweaning lethality (incomplete penetrance); increased freezing behavior","moderate-severe","abnormal startle reflex; decreased locomotor activity; abnormal gait; decreased exploration; increased freezing behavior",NA,"melanoma (expression association)","differentially expressed in melanoma vs. benign nevi",NA,NA,"Negative regulator of Hedgehog acyltransferase (HHAT) that blocks SHH palmitoylation; KO mice show motor/behavioral deficits, altered body composition, and partial lethality; also expressed in sarcoplasmic reticulum with cardiac hypertrophy association"
"Mansc1","other",NA,NA,NA,"ubiquitous",NA,NA,NA,NA,NA,NA,"breast cancer; prostate cancer; AML; colorectal cancer","appears in bioinformatic cancer screens; plasma protein biomarker candidate in CRC; 12p deletion encompassing MANSC1 in myeloid malignancies","Parkinson's disease (bioinformatic screen)",NA,"MANSC-domain protein of unknown function; identified in bioinformatic screens for cancer and Parkinson's disease biomarkers; no functional studies available"
"Galnt9","enzyme","O-GalNAc glycosylation initiation","serine/threonine residues on secretory/membrane proteins","Golgi apparatus","brain; nervous system; various","neurons; various","mucin-type O-glycosylation; Parkinson's disease-related glycosylation","cornea opacity","mild",NA,NA,"neuroblastoma; pituitary adenoma; breast cancer (brain metastasis methylation screen); endometrial cancer","downregulated via methylation in brain metastasis; expression associated with neuroblastoma risk stratification","Parkinson's disease (GALNT9 downregulated in PD; GALNT9 enrichment shown to be protective)",NA,"GalNAc-transferase subfamily member (with GALNT8/T17/T18) that initiates O-glycosylation; downregulated in Parkinson's disease brains; reduced expression in high-risk neuroblastoma"
"Ephx4","enzyme","epoxide hydrolysis","epoxide substrates","endoplasmic reticulum; cytoplasm","brain; liver; lung; larynx","neurons; hepatocytes; lung epithelial cells; sebocytes","epoxide detoxification; oxidative stress response; lipid metabolism",NA,NA,"cognitive resilience (protein level associated with slower cognitive decline in ROSMAP)",NA,"laryngeal cancer; lung adenocarcinoma; hepatocellular carcinoma; various","downregulated in laryngeal and lung cancer; low expression predicts poor prognosis; potential tumor suppressor","Alzheimer's disease (EPHX4 protein level associated with cognitive resilience)",NA,"Epoxide hydrolase 4 expressed in brain; protein levels correlate with cognitive resilience in aging; downregulated in multiple cancers suggesting tumor-suppressive role"
"Ypel4","other","cell cycle regulation; aldosterone production regulation",NA,"centrosome; mitotic apparatus; nucleus","adrenal cortex; erythroid; ubiquitous","erythroblasts; adrenocortical cells","erythroid differentiation; aldosterone signaling; cell proliferation","increased circulating free fatty acids; abnormal bone structure; increased total body fat","mild",NA,NA,"colon cancer (ER stress signature)","appears in ER-stress prognostic models",NA,"terminal erythroid differentiation (Ypel4 highly and specifically expressed in late TED); aldosterone production (YPEL4 overexpression increases aldosterone in HAC15 cells)","YPEL family zinc-finger-like protein highly expressed in late terminal erythroid differentiation; localizes to centrosome/mitotic apparatus; overexpression increases aldosterone production; proposed anticancer properties"
"Rnf43","ubiquitin ligase","ubiquitination of Frizzled receptors; Wnt receptor degradation","Frizzled (FZD) receptors; LRP5/6 (indirect)","plasma membrane; endosome","intestine; liver; stomach; CNS","intestinal stem cells; hepatocytes; gastric epithelial cells; oligodendrocytes","Wnt/beta-catenin signaling (negative regulator); non-canonical Wnt signaling; intestinal stem cell niche","abnormal stomach mucosa; gastric metaplasia; stomach inflammation; abnormal skin morphology; enlarged spleen; short tibia; decreased locomotor activity","moderate-severe","decreased locomotor activity; oligodendrocyte maturation (injury context)","RNF43 identified as factor controlling oligodendrocyte maturation arrest in white matter injury","gastric cancer; colorectal cancer; cholangiocarcinoma; pancreatic cancer; liver cancer","tumor suppressor mutated in multiple GI cancers; loss activates Wnt signaling; RNF43 mutations define MSS gastric cancer subtype","multiple sclerosis; neonatal white matter injury (oligodendrocyte maturation role)","intestinal stem cell niche regulation; oligodendrocyte maturation","E3 ubiquitin ligase that terminates Wnt signaling by ubiquitinating Frizzled receptors; frequently mutated tumor suppressor in GI cancers; required for oligodendrocyte maturation after white matter injury"
"Zdhhc14","enzyme","protein S-palmitoylation","ADRB2 (beta-2 adrenergic receptor); PSD93 (MAGUKS)","endoplasmic reticulum; plasma membrane; postsynaptic density","brain (hippocampus); eye; testis","neurons; hippocampal neurons; Schwann cells; spermatogonia","GPCR signaling; palmitoylation; synaptic scaffolding; PDZ-domain interactions","abnormal eye morphology; small testis; cataract; abnormal retina morphology; abnormal vitreous body morphology","moderate","KO in eye (retinal abnormalities); 6q microdeletion cases show intellectual disability and brain structural anomalies",NA,NA,"expressed in brain; 6q deletions including ZDHHC14 associated with intellectual disability and brain anomalies","intellectual disability; macrocephaly (CNV cases); neonatal seizures (metabolic context)",NA,"Palmitoyl acyltransferase highly expressed in hippocampus; palmitoylates PSD93 MaGUK at axon initial segment; KO causes ocular defects; chromosomal deletions at 6q locus cause intellectual disability with brain anomalies"
"Myo15b","motor protein","vesicle transport; intracellular trafficking",NA,"cytoplasm; intracellular vesicles","intestine; ubiquitous","intestinal epithelial cells; neurons","vesicle trafficking; secretory pathway",NA,NA,NA,NA,"breast cancer","differentially expressed in breast cancer neoadjuvant chemotherapy response studies","depression (sex-specific genetic association via exome sequencing)",NA,"Myosin XVB motor protein involved in vesicle trafficking; very limited functional data; appears in cancer and psychiatric genetics screens"
"Exph5","scaffold/adaptor","Rab27B effector; vesicle tethering/trafficking","Rab27B","cytoplasm; vesicle membrane; basal keratinocyte compartment","skin; immune","keratinocytes; mast cells; T cells","vesicle trafficking; Rab GTPase signaling; type I hypersensitivity","decreased anxiety; decreased circulating phosphate/creatinine/potassium; increased circulating triglycerides; increased airway responsiveness; abnormal TH2 physiology; increased susceptibility to type I hypersensitivity; oxidative stress","moderate","decreased anxiety; decreased thigmotaxis; abnormal behavior","ATM study identified EXPH5 in cerebellar context (cytoplasmic ATM role)",NA,"biallelic mutations cause epidermolysis bullosa simplex","epidermolysis bullosa simplex (skin fragility disease from biallelic mutations); anxiety/behavioral phenotype in KO mice",NA,"Rab27B effector protein required for intracellular vesicle trafficking in keratinocytes; biallelic loss-of-function mutations cause epidermolysis bullosa simplex; KO mice show type I hypersensitivity and behavioral phenotypes"
"Pik3ip1","channel regulator","negative regulation of PI3K activity","PI3K (inhibitor)","plasma membrane; transmembrane","liver; T cells; heart; muscle","T cells; hepatocytes; myoblasts","PI3K/AKT/mTOR signaling; T cell activation/differentiation; insulin signaling",NA,NA,NA,NA,"esophageal squamous cell carcinoma","downregulated after T cell activation; proposed tumor suppressor via PI3K inhibition",NA,"T cell differentiation (TrIP rapidly downregulated upon activation; CD8 T cell-specific deficiency enhances anti-tumor immunity); muscle differentiation (GRP94 study)","Transmembrane inhibitor of PI3K (TrIP) that dampens PI3K/AKT signaling in T cells and liver; downregulation upon T cell activation enables effector differentiation; CD8-specific KO enhances anti-tumor T cell responses"
"Krt222","structural protein","keratin intermediate filament assembly",NA,"cytoplasm; intermediate filaments","epithelium (hair follicle/skin context)","epithelial cells; keratinocytes","intermediate filament organization",NA,NA,NA,NA,"glioma; kidney renal clear cell carcinoma; bladder cancer","appears in bioinformatic driver gene screens; differentially expressed in cancer datasets",NA,NA,"Keratin 222 structural protein with no functional studies; appears only in bioinformatic cancer genomics screens and livestock selection sweeps"
"Fam135b","other",NA,NA,NA,"brain; esophagus; muscle","motor neurons; esophageal squamous cells","DNA repair (suggested); chromatin modification (KAT5 co-expression)","decreased prepulse inhibition","mild","decreased prepulse inhibition",NA,"esophageal squamous cell carcinoma; colorectal cancer","FAM135B amplified in ESCC; co-expressed with KAT5 acetyltransferase; FAM135B promotes oxaliplatin resistance in CRC",NA,"motor neuron differentiation (iPSC-derived sMN study in SBMA context; FAM135B expression in sMNs)","FAM135B is amplified in esophageal squamous cell carcinoma where it co-expresses with KAT5; KO mice show prepulse inhibition defect; expressed in iPSC-derived spinal motor neurons"
"Setd7","enzyme","H3K4me1 monomethylation; non-histone protein methylation","H3K4; p53 (K372); TAF10 (K189); CGAS (K491); MDM2 (indirect)","nucleus","ubiquitous; endometrium; pancreas; lung; mammary gland","epithelial cells; pancreatic beta cells; endometrial stromal cells; immune cells; hematopoietic stem cells","H3K4 methylation; p53 activation; Wnt/YAP signaling (context); insulin gene activation; decidualization; inflammatory signaling","abnormal cell cycle checkpoint; abnormal spleen physiology; decreased sensitivity to xenobiotic/cell death; prenatal lethality (incomplete penetrance); abnormal lung morphology","moderate",NA,NA,"colorectal cancer; lung squamous cell carcinoma; breast cancer; multiple cancers","context-dependent; activates p53 tumor suppressor pathway; promotes differentiation-associated gene expression; downregulation promotes stemness",NA,"epithelial differentiation (mammary lactogenesis); endometrial decidualization; pancreatic beta cell development; hematopoietic stem cell differentiation; insulin gene activation","Lysine methyltransferase that monomethylates H3K4 and non-histone substrates including p53 and CGAS; activates transcription at differentiation genes; KO shows incomplete lethality and lung/cell cycle defects; context-dependent role in cancer"
"Zfyve28","scaffold/adaptor","Negative regulator of EGFR signaling; promotes EGFR degradation in endosomes when non-monoubiquitinated","EGFR","endosome","kidney, skin","podocytes","EGFR/ErbB signaling, endosomal trafficking","increased circulating iron level","mild",NA,NA,NA,NA,"intellectual disability (candidate), PCOS (GWAS association)",NA,"FYVE-domain adaptor that dampens EGFR signaling by routing the receptor for endosomal degradation; KO raises circulating iron."
